Mã CK,Sàn niêm yết,Tên Doanh Nghiệp (Tiếng Việt),Tên Tiếng Anh (English Name),Trang chủ (Website),Cổng Cổ đông (IR Portal),Ngành ICB Cấp 1,Ngành ICB Cấp 2,Mã ISIN Quốc tế,Giá tham chiếu (VND),Trạng thái giao dịch
LIG,HNX,Cổ phiếu CTCP LICOGI13,LICOGI 13 Joint Stock Company,https://licogi13.com.vn,https://licogi13.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000LIG1,3000,Đang giao dịch
MAC,HNX,Công ty Cổ phần Tập đoàn Macstar,Macstar Group Corporation,http://maserco.com.vn,http://maserco.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000MAC5,11200,Đang giao dịch
MAS,HNX,Cổ phiếu CTCP Dịch vụ Hàng không Sân bay Đà Nẵng,Danang Airports Services Joint-Stock Company,https://masco.com.vn,https://masco.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000MAS1,30600,Đang giao dịch
MBG,HNX,Công ty cổ phần Tập đoàn MBG,MBG Group Joint Stock Company,http://mbg.vn,http://mbg.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000MBG4,2300,Đang giao dịch
MBS,HNX,CTCP Chung khoan MB,MB Securities Joint Stock Company,https://mbs.com.vn,https://mbs.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000MBS9,17100,Đang giao dịch
MCC,HNX,Cổ phiếu CTCP Gạch ngói cao cấp,High - Grade Brick - Tile Corporation,http://gachngoicaocap.com,http://gachngoicaocap.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000MCC1,13200,Đang giao dịch
MCF,HNX,Cổ phếu CTCP Xây lắp Cơ khí & Lương thực Thực phẩm,Mechannics Construction and Foodstuff JSC,http://mecofood.com.vn,http://mecofood.com.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000MCF4,7100,Đang giao dịch
MCO,HNX,Công ty cổ phần Đầu tư và Xây dựng BDC Việt Nam,BDC Vietnam Investment and Construction JSC,http://mcovietnam.com.vn,http://mcovietnam.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000MCO6,4800,Đang giao dịch
MDC,HNX,Công ty cổ phần Than Mông Dương Vinacomin,Vinacomin - Mong Duong Coal JSC,https://thanmongduong.vn,https://thanmongduong.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000MDC9,8200,Đang giao dịch
MED,HNX,CTCP Dược Trung Ương Mediplantex,Mediplantex National Pharmaceutical Joint Stock Company,https://mediplantex.com,https://mediplantex.com/quan-he-co-dongNVBNg,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000MED5,18400,Đang giao dịch
MEL,HNX,CTCP Thép Mê Lin,Me Lin Steel Joint Stock Company,https://melinsteel.vn,https://melinsteel.vn/quan-he-co-dong,Nguyên vật liệu,Thép & Kim loại,VN000000MEL8,6000,Đang giao dịch
MIC,HNX,Cổ phiếu CTCP Kỹ nghệ Khoáng sản Quảng Nam,Quang Nam Mineral Industry Corporation,https://minco.com.vn,https://minco.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000MIC8,9000,Đang giao dịch
MKV,HNX,Cổ phiếu CTCP dược thú y Cai Lậy,Cai Lay Veterinary Pharmaceutical JSC,http://mekovet.com.vn,http://mekovet.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000MKV4,13200,Đang giao dịch
MST,HNX,Công ty cổ phần Đầu tư MST,MST Investment Joint Stock Company,https://mstgroup.vn,https://mstgroup.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000MST1,10200,Đang giao dịch
MVB,HNX,TCT Cong nghiep mo Viet Bac TKV,Vinacomin - VietBac Mining Industry Holding Corporation,https://congnghiepmovietbac.vn,https://congnghiepmovietbac.vn/co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000MVB3,14200,Đang giao dịch
NAG,HNX,Công ty cổ phần Tập đoàn Nagakawa Việt Nam,Nagakawa Group JSC,https://nagakawa.com.vn,https://nagakawa.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NAG4,7000,Đang giao dịch
NAP,HNX,CTCP Cang Nghe Tinh,Nghetinh Port Joint Stock Company,https://nghetinhport.vn,https://nghetinhport.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NAP5,10100,Đang giao dịch
NBC,HNX,Công ty cổ phần Than Núi Béo - Vinacomin,Vinacomin - Nui Beo Coal JSC,http://nuibeo.com.vn,http://nuibeo.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000NBC1,7500,Đang giao dịch
NBP,HNX,Cổ phiếu CTCP Nhiệt điện Ninh Bình,Ninhbinh Thermal Power JSC,https://nbtpc.com.vn,https://nbtpc.com.vn/quan-he-co-dong,Nguyên vật liệu,Khai khoáng & Than đá,VN000000NBP3,7200,Đang giao dịch
NBW,HNX,Cổ phiếu CTCP Cấp nước Nhà Bè,Nha Be Water Supply Joint Stock Company,https://capnuocnhabe.vn,https://capnuocnhabe.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NBW9,29000,Đang giao dịch
NDN,HNX,Cổ phiếu công ty Cổ phần Đầu tư Phát triển Nhà Đà Nẵng,Danang Housing Investment Development Joint Stock Company,https://ndn.com.vn,https://ndn.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NDN4,8600,Đang giao dịch
NDX,HNX,Cổ phiếu CTCP xây lắp phát triển nhà Đà Nẵng,Danang Housing Development Joint stock company,https://ndx.com.vn,https://ndx.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NDX3,6500,Đang giao dịch
NET,HNX,Cổ phiếu Công ty Cổ phần Bột giặt NET,Net Detergent JSC,http://netcovn.com.vn,http://netcovn.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000NET9,61000,Đang giao dịch
NFC,HNX,NFC-CTCP Phân lân Ninh Bình,Ninh Binh Phosphate Fertilizer Joint Stock Company,http://niferco.com.vn,http://niferco.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000NFC2,52000,Đang giao dịch
NHC,HNX,Cổ  Phiếu CTCP Gạch ngói Nhị Hiệp,Nhi Hiep Brick-Tile Co-Operation,https://gachngoinhihiep.com,https://gachngoinhihiep.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000NHC8,20100,Đang giao dịch
NRC,HNX,Công ty cổ phần Tập đoàn Danh Khôi,Danh Khoi Group Joint Stock Company,https://nrc.com.vn,https://nrc.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000NRC7,4600,Đang giao dịch
NSH,HNX,Công ty cổ phần Tập đoàn Nhôm Sông Hồng Shalumi,Song Hong Aluminum Shalumi Group Joint Stock Company,https://shalumi.com.vn,https://shalumi.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000NSH4,4200,Đang giao dịch
NST,HNX,Cổ phiếu CTCP Ngân Sơn,Ngan Son JSC,https://nganson.vn,https://nganson.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000NST9,12400,Đang giao dịch
NTH,HNX,CTCP Thủy điện Nước Trong,Nuoc trong Hydro-Power Joint Stock Company,http://thuydiennuoctrong.com.vn,http://thuydiennuoctrong.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000NTH2,50000,Đang giao dịch
NTP,HNX,Cổ phiếu CTCP Nhựa thiếu niên -Tiền Phong,Tien Phong Plastic JSC,https://nhuatienphong.vn,https://nhuatienphong.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000NTP5,52300,Đang giao dịch
NVB,HNX,Ngân hàng Thương mại cổ phần Quốc Dân,National Citizen Commercial Joint Stock Bank,https://ncb-bank.vn,https://ncb-bank.vn/quan-he-nha-dau-tu,Tài chính,Ngân hàng,VN000000NVB1,11800,Đang giao dịch
OCH,HNX,Công ty cổ phần One Capital Hospitality,One Capital Joint Stock Company,http://och.vn,http://och.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000OCH6,6500,Đang giao dịch
ONE,HNX,Công ty cổ phần Công nghệ ONE,One Communication Technology Corporation,http://one.com.vn,http://one.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000ONE0,9500,Đang giao dịch
PBP,HNX,CTCP Bao bì Dầu khí Việt Nam,PetroVietnam Packaging Joint Stock Company,https://pbp.vn,https://pbp.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PBP8,11800,Đang giao dịch
PCE,HNX,CTCP Phan bon va Hoa chat Dau khi Mien Trung,Central PetroVietnam Fertilizer And Chemicals Joint Stock Company,https://pce.vn,https://pce.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PCE0,19500,Đang giao dịch
PCH,HNX,Công Ty Cổ phần Picomat Holding,Picomat Holding Joint Stock Company,https://picomat.com.vn,https://picomat.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PCH3,18200,Đang giao dịch
PCT,HNX,Công ty cổ phần Vận tải biển Global Pacific,Global Pacific Shipping JSC,https://pct.com.vn,https://pct.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PCT8,10100,Đang giao dịch
PDB,HNX,Công ty Cổ phần Tập đoàn Đầu tư Din Capital,DIN Capital Investment Group Joint Stock Company,https://dincapital.com,https://dincapital.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000PDB4,24100,Đang giao dịch
PEN,HNX,CTCP Xây lắp III Petrolimex,Petrolimex Installation No.III Joint Stock Company,https://penjico.petrolimex.com.vn,https://penjico.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000PEN7,10500,Đang giao dịch
PGN,HNX,CTCP Phu Gia Nhua,Plastic Additives Joint Stock Company,https://pgn.com.vn,https://pgn.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PGN2,5900,Đang giao dịch
PGS,HNX,Công ty cổ phần Kinh doanh Khí miền Nam,Southern Gas Trading Joint Stock Company,http://pgs.com.vn,http://pgs.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PGS1,67500,Đang giao dịch
PGT,HNX,Công ty cổ phần PGT HOLDINGS,PGT Holdings JSC,https://pgt-holdings.com,https://pgt-holdings.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PGT9,6300,Đang giao dịch
PHN,HNX,Công ty cổ phần Pin Hà Nội,Ha Noi Battery Joint Stock Company,https://habaco.vn,https://habaco.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000PHN0,55500,Đang giao dịch
PIA,HNX,CTCP Tin hoc Vien thong Petrolimex,Petrolimex Information Technology and Telecommunication Joint Stock Company,http://piacom.com.vn,http://piacom.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PIA5,29200,Đang giao dịch
PIC,HNX,CTCP Dau tu Dien luc 3,PC3 Investment Joint Stock Company,https://pc3invest.cpc.vn,https://pc3invest.cpc.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000PIC1,13900,Đang giao dịch
PJC,HNX,Cổ phiếu CTCP Thương mại và Vận tải Petrolimex Hà Nội (Petajico HaNoi),Petrolimex Hanoi Transportation and Trading Joint Stock Company,https://petajicohanoi.petrolimex.com.vn,https://petajicohanoi.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PJC9,31500,Đang giao dịch
PLC,HNX,Cổ phiếu Tổng Công ty Hóa dầu Petrolimex - CTCP,Petrolimex Petrochemical Corporation -JSC,https://plc.petrolimex.com.vn,https://plc.petrolimex.com.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000PLC5,19400,Đang giao dịch
PMB,HNX,CTCP Phan bon va Hoa chat Dau khi Mien Bac,North Petro Vietnam Fertilizer & Chemicals Joint Stock Company,https://pmb.vn,https://pmb.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PMB5,9800,Đang giao dịch
PMC,HNX,Cổ phiếu CTCP Dược phẩm dược liệu Pharmedic,Pharmedic Pharmaceutical Medicinal JSC,https://pharmedic.com.vn,https://pharmedic.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000PMC3,120000,Đang giao dịch
PMP,HNX,CTCP Bao bi Dam Phu My,Dam Phu My Packaging Joint Stock Company,https://dpmp.vn,https://dpmp.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PMP5,13000,Đang giao dịch
PMS,HNX,Cổ phiếu công ty cổ phần Cơ khí Xăng Dầu,Petroleum Mechanical Stock Company,https://pms.petrolimex.com.vn,https://pms.petrolimex.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PMS9,34500,Đang giao dịch
POT,HNX,Cổ phiếu CTCP Thiết bị Bưu điện,Post and Telecommunication Equipment JSC,http://postef.com.vn,http://postef.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000POT3,21900,Đang giao dịch
PPE,HNX,Công ty cổ phần Tư vấn Đầu Tư PP Enterprise,PP Enterprise Investment Consultancy Joint Stock Company,https://pvpe.vn,https://pvpe.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000PPE2,17500,Đang giao dịch
PPP,HNX,Cổ phiếu CTCP Dược phẩm Phong Phú,Phong Phu Pharmaceutical JSC,https://duocphongphu.com.vn,https://duocphongphu.com.vn/quan-he-co-dong,Y tế & Chăm sóc sức khỏe,Dược phẩm,VN000000PPP8,18500,Đang giao dịch
PPS,HNX,PPS - Công ty Cổ phần Dịch vụ Kỹ thuật Điện lực Dầu khí Việt Nam,Petrovietnam Power Services JSC,https://pps.pvpower.vn,https://pps.pvpower.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000PPS2,10400,Đang giao dịch
PPT,HNX,CTCP Petrotimes,Petro Times Joint Stock Company,https://petrotimesgroup.com,https://petrotimesgroup.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PPT0,15100,Đang giao dịch
PPY,HNX,CTCP Xang Dau Dau khi Phu Yen,PetroVietnam Oil Phu Yen Joint Stock Company,https://pvsoilphuyen.com.vn,https://pvsoilphuyen.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PPY0,7000,Đang giao dịch
PRC,HNX,Công ty cổ phần Logistics Portserco,Portserco JSC,http://portserco.com,http://portserco.com/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PRC2,10200,Đang giao dịch
PRE,HNX,Công ty cổ phần Tái bảo hiểm Hà Nội,PVI Reinsurance Joint-stock Corporation,https://hanoire.com,https://hanoire.com/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000PRE8,29800,Đang giao dịch
PSC,HNX,Cổ phiếu CTCP Vận tải và Dịch vụ Petrolimex Sài Gòn,Petrolimex Saigon Transportation and Service Joint Stock Company,https://ptssaigon.petrolimex.com.vn,https://ptssaigon.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PSC0,9600,Đang giao dịch
PSD,HNX,Cổ phiếu Công ty cổ phần Dịch vụ Phân phối Tổng hợp Dầu khí,Petroleum General Distribution Services Joint Stock Company,https://psd.com.vn,https://psd.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PSD8,11700,Đang giao dịch
PSE,HNX,CTCP Phân bón và Hóa chất Dầu khí Đông Nam Bộ,South-East PetroVietnam Fertilizer and Chemicals Joint Stock Company,https://pse.vn,https://pse.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000PSE6,10700,Đang giao dịch
PSI,HNX,PSI - Cổ phiếu Công ty Cổ phần Chứng khoán Dầu Khí,Petrovietnam Securities Incorporated,https://psi.vn,https://psi.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000PSI7,8400,Đang giao dịch
PSW,HNX,PSW - CTCP Phan Bon va Hoa Chat Dau khi Tay Nam Bo,South – West PetroVietnam Fertilizer and Chemicals Joint Stock Company,https://psw.vn,https://psw.vn/quan-he-co-dong,Nguyên vật liệu,Hóa chất & Phân bón,VN000000PSW8,7400,Đang giao dịch
PTD,HNX,PTD - CTCP Thiết kế Xây dựng Thương mại Phúc Thịnh,Phuc Thinh Design Construction Trading Corporation,https://phucthinh.com.vn,https://phucthinh.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000PTD6,6100,Đang giao dịch
PTI,HNX,PTI - Tổng CTCP Bảo hiểm Bưu điện,Post & Telecommunication Joint Stock Insurance Corporation,https://pti.com.vn,https://pti.com.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000PTI5,19200,Đang giao dịch
PTS,HNX,Cổ phiếu CTCP Vận tải và Dịch vụ Petrolimex Hải Phòng,Hai Phong Petrolimex Transportation and Services Joint Stock Company,https://ptshaiphong.petrolimex.com.vn,https://ptshaiphong.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PTS4,9700,Đang giao dịch
PTX,HNX,CTCP Van tai va Dich vu Petrolimex Nghe Tinh,Petrolimex Nghe Tinh Transportation and Service Joint Stock Company,https://ptx.petrolimex.com.vn,https://ptx.petrolimex.com.vn/quan-he-co-dong,Công nghiệp,Vận tải & Logistics,VN000000PTX4,21700,Đang giao dịch
PV2,HNX,Công ty cổ phần GENEA CAPITAL,GENEA CAPTITAL Joint Stock Company,http://pv2.com.vn,http://pv2.com.vn/quan-he-co-dong,Tài chính,Ngân hàng,VN000000PV26,1800,Đang giao dịch
PVB,HNX,Cổ phiếu CTCP Bọc ống dầu khí Việt Nam,PetroVietnam Coating Joint Stock Company,https://pvcoating.vn,https://pvcoating.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PVB6,21700,Đang giao dịch
PVC,HNX,Cổ phiếu Tổng Công ty Hóa chất và Dịch vụ Dầu khí - CTCP (PVChem),Petrovietnam Chemical and Services Corporation,https://pvcc.com.vn,https://pvcc.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PVC4,12200,Đang giao dịch
PVG,HNX,Công ty cổ phần Kinh doanh LPG Việt Nam,Petrovietnam LPG Joint Stock Company,http://pvgaslpg.vn,http://pvgaslpg.vn/quan-he-co-dong,Dịch vụ tiêu dùng & Bán lẻ,Bán lẻ tổng hợp,VN000000PVG5,5700,Đang giao dịch
PVI,HNX,Công ty cổ phần PVI,PVI Holdings,https://pvi.com.vn,https://pvi.com.vn/quan-he-co-dong,Tài chính,Bảo hiểm,VN000000PVI1,66000,Đang giao dịch
PVS,HNX,Cổ phiếu Tổng CTCP Dịch Vụ Kỹ Thuật Dầu Khí Việt Nam,Petro Vietnam Technical Services Corporation,https://ptsc.com.vn,https://ptsc.com.vn/quan-he-co-dong,Dầu khí & Năng lượng,Thăm dò & Khai thác Dầu khí,VN000000PVS0,38400,Đang giao dịch
QHD,HNX,Cổ phiếu công ty cổ phần Que hàn điện Việt Đức,Viet - Duc Welding Electrode Joint Stock Company,https://quehanvietduc.com.vn,https://quehanvietduc.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000QHD9,49000,Đang giao dịch
QST,HNX,Cổ phiếu CTCP Sách và thiết bị trường học Quảng Ninh,Quang Ninh Book and Educational Equipment Joint Stock Company,http://sachquangninh.vn,http://sachquangninh.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000QST2,24000,Đang giao dịch
QTC,HNX,Cổ phiếu CTCP Công trình GTVT Quảng Nam,Quang Nam Transportation Construction JSC,https://gtvtquangnam.com,https://gtvtquangnam.com/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000QTC6,31000,Đang giao dịch
RCL,HNX,Cổ phiếu CTCP Địa ốc Chợ Lớn,Cho Lon Real Estate JSC,https://cholonres.com.vn,https://cholonres.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000RCL1,11300,Đang giao dịch
S55,HNX,Cổ phiếu CTCP Sông Đà 505,Song Da 5.05 JSC,https://songda505.com.vn,https://songda505.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000S552,66000,Đang giao dịch
S99,HNX,Công ty cổ phần SCI,SCI Joint Stock Company,http://sci.pro.vn,http://sci.pro.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000S990,7500,Đang giao dịch
SAF,HNX,Cổ phiếu CTCP Lương thực Thực phẩm Safoco,Safoco Foodstuff Joint Stock Company,http://safocofood.com,http://safocofood.com/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SAF5,56900,Đang giao dịch
SCG,HNX,Công ty cổ phần Tập đoàn Xây dựng SCG,SCG Construction Group Joint Stock Company,https://scgr.vn,https://scgr.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000SCG9,65300,Đang giao dịch
SCI,HNX,Công ty cổ phần SIC E&C,SCI E&C Joint Stock Company,https://scigroup.vn,https://scigroup.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SCI5,10300,Đang giao dịch
SD5,HNX,Cổ phiếu CTCP Sông Đà 5,Song Da No. 5 JSC,http://songda5.com.vn,http://songda5.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SD58,7000,Đang giao dịch
SD9,HNX,Cổ phiếu CTCP Sông Đà 9,Song Da No 9 JSC,http://songda9.com,http://songda9.com/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SD90,10500,Đang giao dịch
SDC,HNX,Cổ phiếu Công ty Cổ phần Tư vấn Sông Đà,Song Da Consulting JSC,https://sdcc.com.vn,https://sdcc.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000SDC6,6900,Đang giao dịch
SDG,HNX,Cổ phiếu Công ty cổ phần Sadico Cần Thơ,Can Tho Sadico Joint Stock Corporation,http://sadico.com.vn,http://sadico.com.vn/quan-he-co-dong,Công nghiệp,Xây dựng & Vật liệu,VN000000SDG7,6300,Đang giao dịch
SDN,HNX,Cổ phiếu CTCP Sơn Đồng Nai,Dongnai Paint Corporation,https://dongnaipaint.com.vn,https://dongnaipaint.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SDN3,20000,Đang giao dịch
SDU,HNX,Công ty cổ phần Đầu tư xây dựng và phát triển đô thị Sông Đà,Song Da Urban Investment Constr. and Dev. Joint Stock Company,http://dothisongda.com.vn,http://dothisongda.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000SDU8,7300,Đang giao dịch
SEB,HNX,Cổ phiếu Công ty CP Đầu tư và Phát triển Điện Miền Trung,Mien Trung Power Investment and Development JSC,http://mientrungpid.com.vn,http://mientrungpid.com.vn/quan-he-co-dong,Tiện ích cộng đồng,Sản xuất & Phân phối Điện,VN000000SEB6,41000,Đang giao dịch
SED,HNX,Cổ phiếu CTCP Đầu tư và Phát triển Giáo dục Phương Nam,Phuong Nam Education Investment and Development JSC,https://phuongnam.edu.vn,https://phuongnam.edu.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SED2,15200,Đang giao dịch
SFN,HNX,Cổ phiếu CTCP Dệt lưới Sài Gòn,Saigon Fishing Net Joint Stock Company,http://sfn.vn,http://sfn.vn/quan-he-co-dong,Hàng tiêu dùng,Hàng cá nhân & May mặc,VN000000SFN8,18300,Đang giao dịch
SGC,HNX,cổ phiếu CTCP Xuất nhập khẩu Sa Giang,Sa Giang Import Export Corporation,https://sagiang.com.vn,https://sagiang.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SGC9,105000,Đang giao dịch
SGD,HNX,Cổ phiếu CTCP Sách giáo dục tại Tp.HCM,Educational Book JSC in Ho Chi Minh City,http://sgd.edu.vn,http://sgd.edu.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SGD7,12700,Đang giao dịch
SGH,HNX,Cổ phiếu CTCP Khách sạn Sài Gòn,SaiGon Hotel Corporation,https://saigonhotel.com.vn,https://saigonhotel.com.vn/quan-he-co-dong,Công nghiệp,Cơ khí & Chế tạo,VN000000SGH8,17400,Đang giao dịch
SHE,HNX,CTCP Phat trien nang luong Son Ha,Son Ha Development of Renewable Energy Joint Stock Company,http://thaiduongnang.com.vn,http://thaiduongnang.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SHE3,6200,Đang giao dịch
SHN,HNX,Cổ phiếu CTCP Đầu tư Tổng hợp Hà Nội,Hanoi Investment General Corporation,https://shn.com.vn,https://shn.com.vn/quan-he-co-dong,Bất động sản,Bất động sản dân dụng,VN000000SHN4,6900,Đang giao dịch
SHS,HNX,Cổ phiếu CTCP Chứng khoán Sài Gòn - Hà Nội,Saigon - Hanoi Securities JSC,https://shs.com.vn,https://shs.com.vn/quan-he-co-dong,Tài chính,Dịch vụ Tài chính / Chứng khoán,VN000000SHS3,14900,Đang giao dịch
SJ1,HNX,Công ty Cổ phần Nông nghiệp Hùng Hậu,Hung Hau Agricultural Corporation,https://himex.vn,https://himex.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SJ11,17400,Đang giao dịch
SJE,HNX,Cổ phiếu CTCP Sông Đà 11,Song Da No. 11 JSC,https://songda11.com.vn,https://songda11.com.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SJE9,11900,Đang giao dịch
SLS,HNX,SLS - Công ty cổ phần Mía đường Sơn La,Son La Sugar Joint Stock Company,https://miaduongsonla.vn,https://miaduongsonla.vn/quan-he-co-dong,Hàng tiêu dùng,Thực phẩm & Đồ uống,VN000000SLS5,148000,Đang giao dịch
SMN,HNX,SMN - CTCP Sach va Thiet bi Giao duc Mien nam,South Books & Educationnal Equipment JSC,https://sobee.vn,https://sobee.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SMN4,6400,Đang giao dịch
SMT,HNX,Công ty Cổ phần Sametel,Sametel Corporation,https://sametel.com.vn,https://sametel.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SMT1,9200,Đang giao dịch
SPC,HNX,SPC - CTCP Bảo vệ Thực vật Sài Gòn,Saigon Plant Protection Joint Stock Company,http://spchcmc.vn,http://spchcmc.vn/quan-he-co-dong,Khác / Chưa phân loại,Chưa phân loại,VN000000SPC0,10000,Đang giao dịch
SRA,HNX,Cổ phiếu CTCP SARA Việt Nam,SARA Vietnam Joint Stock Company,https://sara.com.vn,https://sara.com.vn/quan-he-co-dong,Công nghệ Thông tin,Phần mềm & Dịch vụ CNTT,VN000000SRA0,1700,Tạm ngừng / Khác
